dal_ys_disability_adjusted_life_years_communicable_maternal_neonatal_and_nutritional_diseases,prevalence_schizophrenia,deaths_vitamin_a_deficiency,deaths_high_systolic_blood_pressure,prevalence_bipolar_disorder,deaths_high_body_mass_index,life_expectancy,prevalence_eating_disorders,deaths_unsafe_sex,deaths_diet_low_in_fruits,prevalence_anxiety_disorders,percent_prevalence_depressive_disorders,prevalence_drug_use_disorders,total_life_satis,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,brain_nvss_cancer_deaths,breast_cancer_deaths,cervical_cancer_deaths,colon_rect_cancer_deaths,esophageal_cancer_deaths,gallbladder_cancer_deaths,kidney_cancer_deaths,larynx_cancer_deaths,leukemia_deaths,lip_and_oral_cavity_cancer_deaths,liver_cancer_deaths,non_hodgkin_lymphoma_deaths,other_cancers_deaths,other_pharynx_cancer_deaths,ovarian_cancer_deaths,pancreatic_cancer_deaths,prostate_cancer_deaths,stomach_cancer_deaths,tracheal_bronchus_and_lung_cancer_deaths,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,entity,year,fruit_consumed_kg_pc_year,gdp_capita_year,total_pop,continent,prevalence_alcohol_use_disorders
NA,NA,NA,NA,NA,NA,74.186,NA,NA,NA,NA,NA,NA,NA,7.12,0.3,0,9.52,9.15,0.7,6.53,0.42,0,0,20.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.12,109.92,1149.93,1422.03,Iceland,1972,147.275,NA,209928,NA,NA
NA,NA,NA,NA,NA,NA,60.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Iceland,1930,NA,NA,108482,NA,NA
241293093.67224073,0.262611986403,136778.75175205266,1006446.4612460224,0.553799606427,235257.91038000077,64.918,0.126230605888,167978.1302121144,309855.09353554697,3.30967704766,3.93938201083,0.501409152995,5.348,14.68,0.25,0.29,2.69,1.46,1.59,1.23,0.12,1.1,NA,19.58,15571,43339,34182,37618,29990,8226,3685,21601,25640,43656,20908,16153,81792,41305,11412,16001,14094,66263,46549,42.24,181.4,443.88,1666.48,India,2006,117.82,3453.10566102778,1165486291,NA,1.45193378687
NA,NA,NA,NA,NA,NA,74.589,NA,NA,NA,NA,NA,NA,NA,7.97,0.04,0.05,17.48,17.5,0.97,9.22,1.06,0.94,0,14.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.4,172.6,1260.99,1879.01,Ireland,1989,191.3068,NA,3509508,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,1947,NA,NA,2919390,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Israel,1901,NA,NA,358422,NA,NA
NA,NA,NA,NA,NA,NA,71.98,NA,NA,NA,NA,NA,NA,NA,6.01,0.03,0.66,18.87,9.36,0.34,2.51,0.02,1.25,0,11.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.24,185.84,474.84,1898.08,Japan,1969,138.4522,NA,103496032,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,1928,NA,NA,61769908,NA,NA
365210.4843961644,0.190966731071,58.39578054167645,3621.759143609914,0.8102286414140001,3143.2196999921075,72.083,0.164431413591,42.46416675434622,903.3468126945886,4.93010477999,3.74727898767,1.43124948323,NA,9.11,1.48,1.15,20.63,8.95,4.95,7.13,1.16,0.2,0,12.44,104,272,30,244,25,31,25,30,233,22,56,152,277,8,35,70,78,124,242,89.72,205.76,853.47,1789.05,Jordan,2002,184.128,9377.64537255967,5317514,NA,0.6342473026359999
NA,NA,NA,NA,NA,NA,52.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jordan,1960,NA,NA,933102,NA,NA
13528130.166085072,0.168128693974,11017.235823212792,14171.724983434704,0.636659878226,3564.3984968804325,52.014,0.121954749651,56537.195088116285,3683.0396175031633,3.60161687452,3.66015363645,0.451418799704,NA,31.06,0.07,4.45,1.12,0.13,0.29,0.02,0.19,4.96,0.83,7.88,195,627,1140,568,679,254,51,153,389,196,445,340,1601,82,185,338,440,1185,389,59.28,173.72,419.22,1364.78,Kenya,1997,139.7674,2931.40977447419,29415660,NA,1.2569414457
NA,NA,NA,NA,NA,NA,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenya,1955,NA,NA,6987658,NA,NA
NA,NA,NA,NA,NA,NA,49.386,NA,NA,NA,NA,NA,NA,NA,2.58,NA,NA,8.31,0,0.8,0,0.63,9.17,NA,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.24,165.48,200.43,1560.85,Laos,1981,75.35000000000001,NA,3323353,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laos,1939,NA,NA,928634,NA,NA
